"date","devices"
"2021-10-10T21:53:32.336016","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T21:55:04.441323","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:00:04.392930","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:05:04.528136","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:10:04.567337","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:15:04.484391","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:20:04.486206","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:25:04.323412","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:30:04.220632","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:35:04.079538","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:40:03.893737","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:45:05.060534","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||Pixel-3a-XL||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:50:03.941757","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T22:55:03.904417","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:00:05.014309","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:05:03.865744","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:10:04.767187","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:15:04.714213","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:20:04.708875","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:25:04.704451","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:30:04.844117","1a:05:44:78:88:7b||4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosMBP2187||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:35:05.020181","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:40:04.154154","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:45:04.198296","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:50:04.298233","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-10T23:55:04.381556","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:00:04.504184","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:05:04.654831","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:10:04.870379","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:15:05.075264","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:20:04.161096","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:25:04.272797","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:30:04.423491","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:35:04.539218","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:40:04.680791","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:45:04.896032","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:50:04.942213","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T00:55:04.021901","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:00:04.093824","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:05:04.270310","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:10:04.381722","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:15:04.562307","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||MatteosoogleMac||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:20:04.653013","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:25:04.765060","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:30:04.877027","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:35:05.073965","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:40:04.168069","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:45:04.288371","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:50:04.416216","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T01:55:04.538755","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:00:04.646123","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:05:04.766072","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:10:04.886854","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:15:05.020449","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:20:04.121808","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:25:04.284834","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:30:04.824489","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:35:04.909803","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:40:04.918019","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:45:04.975907","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:50:04.104254","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T02:55:04.138236","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:00:04.317102","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:05:04.329620","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:10:04.642792","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:15:04.696626","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:20:04.892562","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:25:04.894290","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:30:04.960991","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:35:04.130202","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:40:04.247109","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:45:04.345939","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:50:04.548763","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T03:55:04.680185","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:00:04.919321","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:05:04.924470","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:10:05.044225","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:15:04.083968","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
